學年度,學校代碼,學校名稱,縣市名稱,體系別,在校生總數,區域,設立別,休學人數,在學人數_S,休學率,退學人數,退學率,專任教師數,生師比,公私立
109,1050,佛光大學,宜蘭縣,1 一般,3458,東部,私立,,,,,,165.0,21.0,私立
109,1051,台南應用科技大學,臺南市,2 技職,12363,南部,,,,,,,,,未知
109,1052,遠東科技大學,臺南市,2 技職,4724,南部,,,,,,,,,未知
109,1053,元培醫事科技大學,新竹市,2 技職,6186,北部,,,,,,,,,未知
109,1054,景文科技大學,新北市,2 技職,6656,北部,私立,,,,,,172.0,38.7,私立
109,1055,中華醫事科技大學,臺南市,2 技職,8724,南部,私立,,,,,,279.0,31.3,私立
109,1056,東南科技大學,新北市,2 技職,5168,北部,私立,,,,,,170.0,30.4,私立
109,1057,德明財經科技大學,臺北市,2 技職,7384,北部,私立,,,,,,224.0,33.0,私立
109,1058,明道大學,彰化縣,1 一般,2525,中部,,,,,,,,,未知
109,1060,南開科技大學,南投縣,2 技職,3755,中部,私立,,,,,,140.0,26.8,私立
109,1061,中華科技大學,臺北市,2 技職,4773,北部,,,,,,,,,未知
109,1062,僑光科技大學,臺中市,2 技職,10610,中部,私立,,,,,,237.0,44.8,私立
109,1063,育達科技大學,苗栗縣,2 技職,3962,中部,,,,,,,,,未知
109,1064,美和科技大學,屏東縣,2 技職,6300,南部,,,,,,,,,未知
109,1065,吳鳳科技大學,嘉義縣,2 技職,5058,南部,私立,,,,,,145.0,34.9,私立
109,1066,環球科技大學,雲林縣,2 技職,3673,中部,,,,,,,,,未知
109,1067,臺灣首府大學,臺南市,1 一般,1130,南部,,,,,,,,,未知
109,1068,中州科技大學,彰化縣,2 技職,2668,中部,,,,,,,,,未知
109,1069,修平科技大學,臺中市,2 技職,4469,中部,,,,,,,,,未知
109,1070,長庚科技大學,桃園市,2 技職,6333,北部,,,,,,,,,未知
109,1071,臺北城市科技大學,臺北市,2 技職,9858,北部,,,,,,,,,未知
109,1072,敏實科技大學,新竹縣,2 技職,771,北部,,,,,,,,,未知
109,1073,醒吾科技大學,新北市,2 技職,7943,北部,,,,,,,,,未知
109,1075,文藻外語大學,高雄市,2 技職,9012,南部,,,,,,,,,未知
109,1076,華夏科技大學,新北市,2 技職,4043,北部,,,,,,,,,未知
109,1077,慈濟科技大學,花蓮縣,2 技職,3163,東部,,,,,,,,,未知
109,1078,致理科技大學,新北市,2 技職,11575,北部,,,,,,,,,未知
109,1079,康寧大學,臺北市,2 技職,3115,北部,,,,,,,,,未知
109,1080,宏國德霖科技大學,新北市,2 技職,5370,北部,,,,,,,,,未知
109,1081,東方設計大學,高雄市,2 技職,2072,南部,,,,,,,,,未知
109,1082,崇右影藝科技大學,基隆市,2 技職,2609,北部,,,,,,,,,未知
109,1083,台北海洋科技大學,新北市,2 技職,4192,北部,,,,,,,,,未知
109,1125,中信金融管理學院,臺南市,1 一般,825,南部,,,,,,,,,未知
109,1148,大漢技術學院,花蓮縣,2 技職,999,東部,私立,,,,,,42.0,23.8,私立
109,1159,和春技術學院,高雄市,2 技職,688,南部,私立,,,,,,48.0,14.3,私立
109,1166,亞東技術學院,新北市,2 技職,4388,北部,私立,,,,,,149.0,29.4,私立
109,1168,南亞技術學院,桃園市,2 技職,3363,北部,,,,,,,,,未知
109,1176,稻江科技暨管理學院,嘉義縣,2 技職,24,南部,私立,,,,,,17.0,1.4,私立
109,1182,蘭陽技術學院,宜蘭縣,2 技職,513,東部,私立,,,,,,44.0,11.7,私立
109,1183,黎明技術學院,新北市,2 技職,5191,北部,私立,,,,,,169.0,30.7,私立
109,1185,經國管理暨健康學院,基隆市,2 技職,4221,北部,,,,,,,,,未知
109,1188,大同技術學院,嘉義市,2 技職,1137,南部,私立,,,,,,52.0,21.9,私立
109,1192,臺灣觀光學院,花蓮縣,2 技職,268,東部,私立,,,,,,10.0,26.8,私立
109,1195,馬偕醫學院,新北市,2 技職,39,北部,,,,,,,,,未知
109,1196,法鼓文理學院,新北市,1 一般,302,北部,,,,,,,,,未知
109,1282,馬偕醫護管理專科學校,臺北市,2 技職,4106,北部,,,,,,,,,未知
109,1283,仁德醫護管理專科學校,苗栗縣,2 技職,6515,中部,私立,,,,,,216.0,30.2,私立
